name,language,stargazers_count,forks_count,created_at
.github,,155,252,2019-07-02T16:27:27Z
.Net-Interactive-Kernels-ADS,Jupyter Notebook,5,3,2021-02-26T01:06:58Z
.NET-Modernization-In-a-Day,JavaScript,49,47,2020-04-14T07:12:21Z
0xDeCA10B,Python,607,158,2019-04-15T20:37:11Z
2019-ignite-circuit-playground,Python,11,9,2019-10-11T18:28:11Z
25-days-of-serverless,,456,138,2019-11-27T13:38:11Z
2LCS,C#,118,56,2018-02-28T09:24:33Z
3-in-1-dock,,55,21,2015-06-30T00:43:54Z
30daysof,JavaScript,181,60,2022-07-15T17:14:24Z
3DTelecommunications,C++,22,4,2024-04-22T23:49:37Z
50BusinessAssignmentsLog,,9,2,2022-07-15T21:24:28Z
A-CLIP,Python,36,5,2023-08-07T11:51:30Z
A-TALE-OF-THREE-CITIES,R,88,37,2020-05-18T23:59:05Z
a11y-llm-eval,Python,45,7,2025-09-24T19:35:50Z
a11y-llm-eval-report,,2,1,2025-10-28T15:33:48Z
aaai21-copy-that,Python,11,7,2021-06-14T14:17:22Z
aad-app-credential-tools,PowerShell,23,25,2021-10-29T01:20:41Z
aad-hybrid-lab,PowerShell,38,39,2018-08-27T12:28:59Z
AADB2C-migration,,1,1,2025-11-10T15:06:32Z
aadb2c-starter-kit,JavaScript,7,4,2021-04-09T16:20:52Z
AADConnectConfigDocumenter,C#,264,52,2016-04-28T13:46:09Z
aad_b2c_webview,Dart,41,30,2023-01-16T07:54:09Z
aaq,,4,1,2023-12-01T21:41:05Z
AaronLocker,PowerShell,699,86,2018-12-18T02:41:00Z
ABAP-SDK-for-Azure,ABAP,189,64,2018-03-10T20:01:50Z
abap2git,ABAP,17,6,2022-11-09T06:17:49Z
ability-attributes,TypeScript,6,8,2019-08-28T16:17:49Z
abledom,TypeScript,6,4,2025-03-25T18:00:31Z
ABS-CSA-Assets,JavaScript,10,2,2024-01-17T15:44:55Z
abskorea,Shell,0,0,2026-02-10T14:53:13Z
